Name,1st ,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th
CCL5,-2.443971064,2.007056684,-0.997494826,0.314670025,0.266961213,-0.300100345,0.328301114,0.343636089,-1.775021818,-0.727270464,0.24651458,0.340228317,-1.113209086,-0.0589167,0.405374524,-0.300100345,0.311262253,0.150073862,-1.400285264
CD200R1,-0.257630687,-1.23061593,-0.997494826,-0.045823041,-0.242124782,-2.573861426,0.010263171,0.07336016,-0.420209477,-0.667752715,-0.3262541,0.059338607,1.262322129,0.001142391,0.524105836,-2.573861426,-0.059844594,-0.526349271,0.378424139
CD40,0.836923485,0.168617198,-0.997494826,-1.201692888,-1.114511826,-0.077593932,-1.226601763,-1.254624247,-0.450868591,-0.665648021,-1.077148513,-1.248397028,-1.272230876,-1.110956833,-1.442041252,-0.077593932,-1.195465669,-0.975515631,-0.858498961
CD80,0.797301614,0.117966225,-0.997494826,4.066479095,-0.256829825,0.051563211,-0.29017579,-0.298512281,0.088369722,-0.057376686,-0.245714504,-0.296659727,-0.174663146,-0.227219692,-0.350626155,0.051563211,-0.280913022,-0.211838079,-0.046242713
CD86,0.658625067,-0.05931218,-0.997494826,-0.260049585,4.105872591,-0.044979053,-0.264814586,-0.270175213,0.033949151,-0.090492575,-0.236224577,-0.268983963,-0.142201953,-0.213732332,-0.302436812,-0.044979053,-0.258858334,-0.213191701,-0.057619942
CSF3,-0.990635291,-2.167658929,-0.997494826,0.010108447,-0.08332103,3.16092137,0.036802583,0.066833487,-0.613266919,-0.484335116,-0.123362234,0.060159952,0.243854385,-0.05332909,0.270672163,-1.19314241,0.003434913,-0.229290142,-0.19292771
CTSB,0.836923485,0.168617198,-0.997494826,-0.289255858,-0.260674896,0.079146715,4.051822823,-0.306608586,0.103918456,-0.047915003,-0.248425911,-0.304567088,-0.183937773,-0.231073223,-0.364394539,0.079146715,-0.287214361,-0.211451329,-0.042992076
CTSL,0.881498089,0.225599543,-0.997494826,-0.296557427,-0.2650006,0.110178157,-0.305573663,4.033527741,0.121410782,-0.03727061,-0.251476245,-0.31346287,-0.194371728,-0.235408446,-0.37988397,0.110178157,-0.294303368,-0.211016236,-0.039335109
CXCL10,-1.710294503,0.104693885,-0.997494826,-0.066011639,-0.072525509,-0.149828016,-0.064150534,-0.06205679,3.780889707,-0.30294556,-0.075317167,-0.062522066,-0.446359273,-0.158027262,-0.058858868,-0.149828016,-0.066476916,-0.093716061,-0.49322138
CXCL2,-0.641624856,-0.298408944,-0.997494826,-0.133545239,-0.143510904,-0.261741114,-0.130697906,-0.127494656,-0.328247661,4.10092006,-0.147781903,-0.12820649,-0.220622216,-0.165147141,-0.108986832,-0.261741114,-0.134257072,-0.162315363,-0.271840342
FGL2,0.599192262,-0.13528864,-0.997494826,-0.25031416,-0.237604474,-0.086354309,-0.253945499,-0.258030755,0.010626049,-0.104685099,4.117087205,-0.257122921,-0.128290012,-0.207952035,-0.281784236,-0.086354309,-0.249406325,-0.213771825,-0.062495898
IFNG,0.871592621,0.212936799,-0.997494826,-0.294934856,-0.264039332,0.103282281,-0.303762149,-0.313692853,0.117523599,-0.039636031,-0.250798393,4.037758641,-0.192053071,-0.234445063,-0.376441874,0.103282281,-0.292728033,-0.211112924,-0.040147768
IFNL1,-0.239181029,1.581455283,-0.997494826,-0.28244551,-0.207819129,0.678949462,-0.303767333,-0.327754384,-0.028261982,0.003668124,-0.175836394,-0.322423928,3.662353243,-0.279004942,-0.496738783,0.678949462,-0.277115054,-0.097396105,-0.342009246
NFKB1,0.398008853,0.222916746,-0.997494826,-0.254757611,-0.229462623,0.071288075,-0.261984751,-0.270115283,-0.004298989,-0.084632403,-0.218621913,-0.268308498,-0.246724129,4.122380836,-0.323605893,0.071288075,-0.252950827,-0.188246676,-0.125507647
NFKB2,1.145457799,0.639958552,-0.997494826,-0.344470299,-0.292039069,0.331151128,-0.35945065,-0.376303546,0.232999106,0.034274735,-0.269568542,-0.372558458,-0.276849865,-0.265289967,3.858866524,0.331151128,-0.340725211,-0.205003611,-0.023492758
STAT1,-0.990635291,-2.167658929,-0.997494826,0.010108447,-0.08332103,-1.19314241,0.036802583,0.066833487,-0.613266919,-0.484335116,-0.123362234,0.060159952,0.243854385,-0.05332909,0.270672163,3.16092137,0.003434913,-0.229290142,-0.19292771
STAT2,0.787396146,0.105303482,-0.997494826,-0.281143005,-0.255868558,0.044667335,-0.288364275,-0.296488204,0.084482538,-0.059742106,-0.245036652,-0.294682887,-0.172344489,-0.226256309,-0.347184059,0.044667335,4.069906984,-0.211934766,-0.047055372
TNF,0.404187706,-0.307650711,-0.997494826,-0.22304613,-0.220103152,-0.184897872,-0.22388698,-0.224832937,-0.057896091,-0.142740189,-0.218841876,-0.224622725,-0.103334497,-0.193195755,-0.227987691,-0.184897872,-0.222835917,4.132202374,-0.084307657
coronavirus_infection,-0.944005686,0.795821995,-0.997494826,-0.174003509,-0.141554119,0.244091376,-0.183274763,-0.193704924,-0.292850282,-0.151875799,-0.127647238,-0.19138711,-0.548140288,-0.216769445,-0.272765772,0.244091376,-0.171685695,-0.099121734,3.935887477
